Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Lessons3.11,Смените кабину.,Now change the cabin.,Wechsle nun den Führerstand,"Maintenant, changez de cabine.",Agora troque de cabine.,Cambie la cabina.,Ora cambia cabina.,Acum schimbă cabina.,Şimdi öbür kabine geçin.,Teraz zmień kabinę,Teď změň kabinu.,,现在更好驾驶室。,現在更好駕駛室。,Agora mude de cabine.
Lessons3.12,"Это окно маршрутизации. Для того, чтобы построить маршрут на линию, нажмите на кнопку «Солнцево».","This is the routing window. In order to build the route to the line, press «Sonltsevo».","Dies ist das Routing-Fenster. Um die Route zur Linie zu erstellen, drücken Sie «Sonltsevo».","Ceci est le panneau de création de chemin. Pour créer un chemin vers le reste de la ligne, cliquez sur «Sonltsevo».",Essa é a janela da rota. Você pode fechá-la no depósito se você não quiser planejar agora. Essas janelas são obrigatórias durante as linhas. Pressione «Contruir a rota para a linha»,"Eso es la ventana de enrutamiento. Para que crear ruta hasta linia pricnipal, haga un click en el botón «Солнцево».","Questa e' la finestra di «instradamento». Per impostare una rotta verso la linea, premi «Sonltsevo».","Acesta este ecranul care afișează traseul. Pentru a construi traseul spre linie, apasă «Sonltsevo».",Bu bir rota oluşturma penceresidir. Hattın rotasını oluşturmak için «Solntsevo» tuşuna basın.,"To jest okno tras. Aby zbudować trasę do konkretnej linii, naciśnij «Sonltsevo».","Toto je trasové okno. Nastav si trasu k lince, zmáčkni «Sonltsevo».",,这是线路选择面板。 现在建立通往该线路的路径，请选择太阳站,這是線路選擇面板。 現在建立通往該線路的路徑，請選擇太陽站,"Essa é a janela de planejamento de rota. Para construir uma rota até a linha, pressione «Sonltsevo»."
Lessons3.13,"Стрелки переключаются в нужном направлении автоматически, по готовности вам откроется светофор.","Arrows are now switching in the correct direction, and traffic lights are opening.","Die Weichen etc werden nun für Sie gestellt!","Les aiguillages sont correctement assignés, et les signaux sont ouverts.",As setas estão na posição correta e os semáforos estão abertos.,"En este casd todas las flechas cambian su dirección automatícamente.,Cuando todo será listo, se encenderá una señal blanca en el semáforo.","Le frecce ora sono state impostate nella corretta direzione, ed i segnali si stanno «aprendo».","Macazele se schimbă în poziția corectă, iar semnalele se deschid.",Oklar şimdi doğru yönde değişiyor ve trafik ışıkları açılıyor.,"Strzałki zmieniły się poprawnie, a sygnalizator jest teraz zielony.",Šipky jsou nyní přeplé správným směrem a semafory jsou otevřené.,,箭头已正确切换，信号灯现已打开。,箭頭已正確切換，信號燈現已打開。,"As setas estão na direção correta, e os semáforos estão abrindo."
Lessons3.14,Установите информатор на маршрут «Солнцево – Савёловская».,Set up the Auto-Informer to «Solntsevo – Savelovskaya».,Stelle nun den Auto Informer ein: Von Solntsevo nach Savelovskaya.,Paramétrez l'auto-informateur sur «Solntsevo – Savelovskaya».,Configure a Placa de Destino automática para «Solntsevo – Savelovskaya».,Elige en la pantalla de informador la ruta «Солнцево – Савёловская» («Solntsevo – Savelovskaya»).,"Imposta l'informatore automatico, da «Solntsevo» a «Savelovskaya».",Setează sistemul de informare pe «Solntsevo - Savelovskaya»,Otomatik Bilgilendiriciyi «Solntsevo - Savelovskaya» hattına göre ayarlayın.,Ustaw Auto-Informer na «Solntsevo - Savelovskaya».,Nastav autoinformátor na «Solntsevo – Savelovskaya».,,将自动报站器设置为太阳站 — 萨维奥洛沃站,將自動報站器設置為太陽站 — 薩維奧洛沃站,Ajuste o Auto-Informante para «Solntsevo – Savelovskaya».
Lessons3.15,"Можете выезжать, сохраняйте скорость не более 15 км/ч до знака «40 км/ч» в тоннеле.","Now you can drive, don’t go faster than 15 km/h until you pass «40 km/h» sign in the tunnel.","Fahr nun los! Beachte, dass du nicht schneller als 15 km/h fahren darfst, bis du das 40 km/h Schild im Tunnel überfährst!","Vous pouvez commencer à avancer, pas plus vite que 15 km/h jusqu'à ce que vous passez le panneau «40 км/ч» dans le tunnel.","Agora dirija, não ultrapesse 15 km/h até passar a placa «40 км/ч» no túnel.","Puede salir, mantenga velocidad no mas de 15 km/h hasta el signo 40 km/h en el túnel.","Ora puoi guidare, non superare i 15km/h, fallo solo dopo aver passato il cartello, indicante «40 km/h», nella galleria.","Acum poți conduce, dar nu depăși limita de 15 km/h până când nu treci de indicatorul «40 km/h» din tunel.",Artık treni sürmeye başlayabiliriz. Fakat tünelde «40 km/s» işaretini geçene kadar 15 km/s'den daha hızlı gitmeyin.,"Możesz jechać dalej, nie przekraczaj prędkości 15km/h, dopóki nie miniesz znaku «40 км / ч» w tunelu.","Teď můžeš jet, nejeď rychleji než 15 km/h dokud neprojedeš kolem nápisu «40 км/ч» v tunelu.",,现在您可以启动列车了，在您通过隧道中的40км/ч标记前，您不可以以超过15公里/小时的速度行驶。,現在您可以啟動列車了，在您通過隧道中的40км/ч標記前，您不可以以超過15公裏/小時的速度行駛。,"Agora você pode dirigir, não vá mais rápido que 15 km/h até que você passe a placa no túnel que diz «40 km/h»."
Lessons3.16,"Остановитесь у знака «8» и ждите разрешающей скорости. В разное время, ожидание может быть разным. ",Stop near the «8» sign and wait until you’re allowed to drive. The time you’ll have to wait can differ from time to time.,"Halte in der Nähe des 8 Schildes! Warte dann, bis du weiterfahren darfst! Dies Wartezeit ist immer unterschiedlich!",Arrêtez-vous près du panneau «8» et attendez l'autorisation de continuer. Le temps d'attente peut être variable.,Pare perto da placa «8» e espere até você ser autorizado a dirigir. O tempo que você terá que esperar poderá alterar de tempos e tempos.,Pare cerca del signo «8» y espera la velocidad permisiva. Cada vez que el tiempo de espera varía.,"Fermati vicino al cartello «8», ed aspetta finche' non sei autorizzato a guidare. Il tempo di attesa puo' cambiare. ",Oprește lângă semnul «8» și așteaptă până când îți este permis să conduci. Timpul de așteptare variază în funcție de momentul zilei. ,"«8» işaretinin yanında durun ve sürmenize izin verilene kadar bekleyin. Beklemek zorunda olduğunuz zaman, zaman zaman değişebilir.","Zatrzymaj się w pobliżu znaku «8» i poczekaj, aż będziesz mógł jechać dalej.","Zastav u nápisu «8» a počkej, dokud nedostaneš povolení k jízdě. Čas čekání může být různý.",,在8标志牌附近停下后等待直到允许您再次启动。 每次需要等待的时间可能会有所不同。,在8標誌牌附近停下後等待直到允許您再次啟動。 每次需要等待的時間可能會有所不同。,Pare próximo a placa «8» e espere até ser permitido continuar. O tempo de espera pode variar.
Lessons3.17,"Стрелка переведена, можете ехать.","Arrow is set correctly, now you can drive.",Die Weiche ist richtig gestellt! Du darfst weiterfahren!,"Les aiguillages sont prêts, vous pouvez continuer à conduire.","As setas foram devidamente direcionadas, agora você poderá dirigir.","La flecha cambió su dirección, usted puede pasar adelante.","La freccia e' impostate correttamente, ora puoi guidare.","Macazul este poziționat corect, acum poți conduce.","Makas okları doğru ayarlanmış, artık treni kullanabilirsiniz.","Zwrotnice są ustawione poprawnie, możesz teraz jechać.","Šipky jsou nastavené správně, teď můžeš jet.",,箭头设置正确，现在可以启动了。,箭頭設置正確，現在可以啟動了。,"As setas estão posicionadas corretamente, agora você pode dirigir."
Lessons3.18,"Поздравляем, вы прошли обучение! Депо Солнцево разблокировано на карте в свободном режиме игры.","Congratulations, you completed the tutorial! Solntsevo Depot is now available in Free Mode.","Glückwunsch, du hast es geschafft! Das Solntsevo Depot ist nun auch im FREIE FAHRT Modus befahrbar!",Félicitations ! Vous avez complété le tutoriel. Vous pouvez toujours accéder au dépot de Solntsevo en mode Trajet Libre.,"Parabéns, você completou o tutorial! O depósito Solntesevo está disponível no modo Passeio Livre.","¡Felicidades, usted pasó formación! El depo Солнцево es desbloqueado en el mapa en el modo de juego libre.",Congratulazioni! Hai completato il tutorial! Il deposito di Solntsevo e' ora disponibile nella modalita' «Libera».,"Felicitări, ai finalizat tutorialul! Depoul Solntsevo este acum disponibil în modul „Cursă Liberă”.","Tebrikler, öğreticiyi tamamladınız! Solntsevo Deposu artık Serbest Modda kullanılabilir.","Gratulacje, ukończyłeś samouczek! Zajezdnia Solntsevo jest od teraz dostępna w trybie dowolnym.","Gratuluji, dokončil jsi tutoriál! Depo Solntsevo je teď dostupné ve volném módu.",,恭喜，您已完成本教程！太阳车辆段现在可在自由模式下使用。,恭喜，您已完成本教程！太陽車輛段現在可在自由模式下使用。,"Parabéns, você completou o tutorial! O Depósito Solntsevo agora está disponível no Modo Livre."
NameLesson3,Движение в депо,Navigating in Depot,Im Depot navigieren.,Naviguer dans le dépot,Navegando pelo Depósito,Movimiento en el depo,Navigazione nel deposito.,Navigând prin depou,Depo'da Gezinme,Nawigacja w zajezdni,Navigování do depa,,车辆段导航,車輛段導航,Navegando no Deposito.
DescriptionLesson3,"Вы познакомитесь с депо Солнцево, узнаете, как работает сигнализация и маршрутизация, как осуществлять движение на территории депо.",You are going to learn how traffic lights and automatic routing work and how to properly drive in the Depot.,"Du wirst lernen, wie Signale, automatisches Routing und Fahren im Depot funktioniert.",Vous allez apprendre comment les signaux et le routage automatique fonctionnent et comment conduire dans le dépot.,"Você irá aprender sobre as luzes de tráfeco, o trabalho de rotas automáticas e como dirigir corretamente no Depósito.","Usted se familiarizará con el depó Solntsevo, aprenderá cómo funciona la señalización y el enrutamiento, cómo llevar a cabo el movimiento en el territorio del depó.",Ora imparerai come a usare i segnali ed il settaggio automatico. Inoltre imparerai anche a come guidare all'interno del deposito.,"Acum vei învăța cum funcționează semnalele, traseele automate și cum să mergi prin depou.","Trafik ışıklarının, otomatik yönlendirmenin nasıl çalıştığını ve Depo'da nasıl düzgün bir şekilde sürüleceğini öğreneceksiniz.","Dowiesz się tutaj, jak działa oświetlenie i automatyczne wyznaczanie trasy, oraz jak prawidłowo jeździć po zajezdni.","Dozvíš se, jak ovládat semafory a automatické směrování a jak správně řídit v depu.",,您将学习信号灯和自动选线的工作原理以及如何在车辆段规范行驶,您將學習信號燈和自動選線的工作原理，以及如何在車輛段規範行駛,Agora você irá aprender como os semáforos e rotas automáticas funcionam e como dirigir apropriadamente no Depósito.
Lessons3.19,"Вы превысили разрешенную скорость. Сработало экстренное торможение. Чтобы продолжить движение, вам нужно отключить тумблер экстренного торможения. Когда включено экстренное торможение, а скорость уже опустилась до разрешенного значения, можно нажать кнопку «Восприятие торможения» ({0:N1}) для того, чтобы отключить торможение. Также можно продолжить движение после полной остановки переключением реверса. Внимание! Перед этим обязательно переключите контроллер хода в «Выбег» или любую позицию торможения чтобы поезд не начал движение сразу же после переключении реверса.","You have exceeded the maximum speed limit. The emergency braking was engaged. You need to disable emergency braking switch in order to continue movement. If emergency braking has been activated, but speed has fallen below the speed limit, you can press «Braking cancellation» ({0:N1}) to deactivate emergency braking system. Also, you can move the reverse switch to Neutral and then back to Forward position to start moving after the train has fully stopped. Move the reverse switch to neutral position and move it back to «Forward». Warning! Do not forget to move the controller to «Neutral» or any braking position before doing that. Otherwise, the train will start moving just after you set reverse switch to «Forward».","Sie haben die Höchstgeschwindigkeit überschritten. Die Notbremsung wurde aktiviert. Sie müssen den Notbremsschalter deaktivieren, um die Fahrt fortzusetzen. Wenn die Notbremsung aktiviert wurde, die Geschwindigkeit jedoch unter die Geschwindigkeitsgrenze gefallen ist, können Sie die Notbremsanlage durch Drücken von «Bremsenannullierung» ({0:N1}) deaktivieren. Außerdem müssen Sie den Rückwärtsgangschalter auf Neutral und dann wieder in die Vorwärtsposition bringen und losfahren, nachdem der Zug vollständig angehalten hat. Bringen Sie den Rückwärtsschalter in die neutrale Position und bringen Sie ihn zurück auf «Vorwärts». Warnung! Vergessen Sie nicht, den Regler vorher auf «Neutral» oder eine andere Bremsposition zu bringen. Andernfalls fährt der Zug unmittelbar nach dem Umschalten auf «Vorwärts» los.","Vous avez enfreint la limite de vitesse et le freinage d’urgence a été activé. Vous devez désactiver l’interrupteur de freinage d’urgence pour continuer à avancer. Si le frein d'urgence a été activé mais que votre vitesse est repassée en dessous de la limite, vous pouvez appuyer sur «Annulation de freinage» ({0:N1}) pour désactiver le freinage d'urgence. Vous pouvez ainsi déplacer la manette d'inverseur sur Neutre, puis sur Marche avant pour procéder à nouveau après l'arrêt complet du train. Déplacez la manette d’inverseur sur la position «Neutre» et à nouveau sur «Marche avant». Attention ! N’oubliez pas de déplacer la manette de traction/freinage sur la position neutre ou n’importe quelle position de frein avant de réaliser cette action, sinon, le train commencera directement à avancer juste après que vous ayez placé la manette d’inverseur sur «Marche avant».","Você excedeu o limite máximo de velocidade. A frenagem de emergência foi acionada. Você precisa desativar o interruptor de frenagem de emergência para continuar o movimento. Se a frenagem de emergência foi ativada, mas a velocidade caiu abaixo do limite de velocidade, você pode pressionar «Cancelamento de frenagem» ({0:N1}) para desativar o sistema de frenagem de emergência. Além disso, você pode mover o interruptor de reversão para Neutro e depois voltar para a posição de Avanço para começar a se mover depois que o trem estiver totalmente parado. Mova o interruptor de reversão para a posição neutra e mova-o de volta para «Avançar». Aviso! Não se esqueça de mover o controlador para «Neutro» ou qualquer posição de frenagem antes de fazer isso. Caso contrário, o trem começará a se mover logo após você colocar o interruptor de reversão em «Avançar».","Acabas de exceder la velocidad máxima. Los frenos de emergencia fueron activados. Necesitas desactivarlos con el interruptor de frenos de emergencia para continuar el recorrido. Si el freno de emergencia fue activado pero la velocidad disminuyó por debajo del límite de velocidad, puedes presionar el boton de «Cancelación de freno» con el botón ({0:N1}) para desactivar el sistema de frenos de emergencia. También puedes mover el controlador inverso a «Neutral» y reubicarlo en «Avanzar» para comenzar a moverte una vez que el tren se haya detenido por completo. Mueve el controlador inverso a la posición «Neutral» y luego hacia «Avanzar». ¡Advertencia! No olvides mover el controlador hacia Neutral o hacia alguna posición de freno antes de hacer eso, de lo contrario el tren comenzará a moverse inmediatamente después de cambiar a la posición «Avanzar».","Hai superato il limite massimo di velocità. La frenata d'emergenza era impegnata. È necessario disabilitare l'interruttore di frenata di emergenza per continuare il movimento. Se la frenatura di emergenza è stata attivata, ma la velocità è scesa sotto il limite di velocità, è possibile premere «Cancellazione frenata» ({0:N1}) per disattivare il sistema di frenata di emergenza. Inoltre, puoi spostare l'interruttore di retromarcia su Neutro e poi di nuovo su Avanti per iniziare a muoverti dopo che il treno si è fermato completamente. Spostare l'interruttore di retromarcia in posizione neutra e riportarlo su «Avanti». Avvertimento! Non dimenticare di spostare il controller su «Neutro» o qualsiasi posizione di frenata prima di farlo. Altrimenti, il treno inizierà a muoversi subito dopo aver impostato l'interruttore di retromarcia su «Avanti».","Ai depășit viteza maximă admisă. Frâna de urgență a fost aplicată. Trebuie să o dezactivezi pentru a continua călătoria. Dacă frânea de urgență a fost activată, dar viteza a scăzut sub cea limită, apasă butonul «Anulare frână» ({0:N1})  pentru a dezactiva sistemul de frânare de urgență. De asemenea, poți muta inversorul în poziția neutră și după în poziția «Înainte» numai după ce trenul este complet oprit. Mută inversorul în poziția neutră și după în poziția «Înainte». Atenție! Nu uita să pui manșa pe neutru sau orice poziție de frânare înainte de a face asta. Altfel, trenul va porni numai după ce setezi inversorul pe «Înainte».","Maksimum hız sınırını aştınız. Acil durum freni devreye girdi. Harekete devam etmek için acil durum fren anahtarını devre dışı bırakmanız gerekir. Acil frenleme etkinleştirildiyse, ancak hız, hız sınırının altına düştüyse, acil fren sistemini devre dışı bırakmak için «Fren iptali» ({0:N1}) tuşuna basabilirsiniz. Ayrıca, tren tamamen durduktan sonra hareket etmeye başlamak için vites kolunu Boş'a ve ardından İleri konumuna geri getirebilirsiniz. Uyarı! Bunu yapmadan önce kontrol cihazını «Boşta» konumuna veya herhangi bir fren konumuna getirmeyi unutmayın. Aksi takdirde, vitesi «İleri» konumuna getirdikten hemen sonra tren hareket etmeye başlayacaktır.","Przekroczyłeś limit prędkości. Został uruchomiony hamulec awaryjny. Musisz go wyłączyć aby móc jechać dalej. Jeżeli został aktywowany hamulec awaryjny i predkość jazdy spadła poniżej dopuszczalnej, możesz deaktywować hamowanie przyciskiem ({0:N1}). Jeżeli pociąg zdążył się w pełni zatrzymać, przestaw nastawnik jazdy do pozycji «Neutralny», a nastepnie ponownie do pozycji «Naprzód» aby zacząć ponownie jechać. Uważaj! Nie zapomnij wcześniej ustawić regulacji szybkości do pozycji «Neutralny», w przeciwnym wypadku pociąg zacznie jechać od razu po zadaniu jazdy «Naprzód».","Překročili jste maximální povolenou rychlost. Došlo k nouzovému brzdění. Chcete-li pokračovat v pohybu, musíte vypnout nouzový brzdový spínač. Pokud bylo aktivováno nouzové brzdění, ale rychlost klesla pod mez rychlosti, můžete stisknout «zrušení brzdění» ({0:N1}) pro deaktivaci nouzového brzdového systému. Můžete také posunout zpětný spínač na neutrální a potom zpět do polohy vpřed a začít se pohybovat po úplném zastavení vlaku. Přepněte přepínač zpět do neutrální polohy a posuňte jej zpět do polohy «vpřed». Varování! Než to uděláte, nezapomeňte přepnout regulátor do polohy «Neutral» nebo do jakékoli polohy brzdění. V opačném případě se vlak začne pohybovat právě poté, co nastavíte přepínač zpět do polohy «vpřed».",,您已超速 紧急制动已经打开 您需要关闭紧急制动才能继续前进 先将档位调至空档然后将其调回到前进的位置  警告！在此之前，不要忘记将控制器移动到空档或任何制动位置 否则，列车将在您将档位调为前进后立即开始移动。{0:N1},您已超速 緊急制動已經打開 您需要關閉緊急制動才能繼續前進 先將檔位調至空檔然後將其調回到前進的位置 警告！在此之前，不要忘記將控制器移動到空檔或任何制動位置 否則，列車將在您將檔位調為前進後立即開始移動。{0:N1},"Você excedeu o limite de velocidade. Os freios de emergência foram ativados. Você precisa desativar o interruptor de freios de emergência para continuar a se mover. Se os freios de emergência estão ativos, porém a velocidade ainda não caiu a abaixo do limite de velocidade, você pode pressionar «Cancelamento de frenagem» ({0:N1}) para desativar o sistema de freios de emergência. Além disso, você pode mudar o interruptor reverso para a posição neutro e depois para «Forward». Aviso! Não se esqueça de mudar o interruptor para posição «Neutra» ou qualquer outra posição de frenagem antes de fazer isso. Caso contrário, o trem só vai voltar a se mover depois que você mudar o interruptor reverso para «Forward»."
