Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Контроллер хода,Контроллер хода,Controller,Regler,Manette,Controlador de curso,Controlador de ciclos,Controllore,Manșă,Kontrolör,Kontroler,Ovladač tahu,제어기,控制台,控制台,Controle
Ручной контроллер,Ручной контроллер,Manual controller,Manuelle Steuerung,Manette manuelle,Controle Manual,Controlador manual,Controllore manuale,Manșă manuală,Elle Kontrol,Ręczny kontroler,Ruční ovládání,수동 제어기,手动控制台,手動控制台,Controle manual
Камера справа,Камера справа,Right camera,Rechte Kamera,Caméra de droite,Câmera da direita,Cámara derecha,Camera destra,Cameră dreapta,Sağ Kamera,Prawa kamera,Pravá kamera,우측 카메라,右侧摄像头,右側攝像頭,Câmera direita
Камера слева,Камера слева,Left camera,Linke Kamera,Caméra de gauche,Câmera da esquerda,Cámara izquierda,Camera sinistra,Cameră stânga,Sol Kamera,Lewa kamera,Levá kamera,좌측 카메라,左侧摄像头,左側攝像頭,Câmera esquerda
Бдительность,Бдительность,Vigilance,Wachsamkeit,Vigilance,Vigilância,Vigilancia,Vigilanza,Vigilență,Vigilance Emniyet Sistemi,Czuwak,Bdělost,경고 확인,司机警惕装置,司機警惕裝置,Vigilância
Выбор маршрута,Выбор маршрута,Route selection,Routenauswahl,Séléction de ligne,Seletor de rotas,Selección de ruta,Selezione del percorso,Selectare rută,Güzergah Seçimi,Wybór trasy,Výběr trasy,경로 선택,线路选择,線路選擇,Seleção de rota
Установка в начало,Установка в начало,Set to beginning,Auf Anfang setzen,Mettre au début,Definir como início,Comenzar desde el principio,Impostare all'inizio,Setează de la început,Başlangıca Ayarla,Ustaw na początek,Nastavit na začátek,처음으로 설정,设定开始,設定開始,Definir como início
Вверх,Вверх,Up,Hoch,Haut,Cima,Arriba,Su,Sus,Yukarı,Góra,Nahoru,위,上,上,Para cima
Вниз,Вниз,Down,Runter,Bas,Baixo,Abajo,Giù,Jos,Aşağı,Dół,Dolů,아래,下,下,Para baixo
Выход,Выход,Exit,Ausgang,Sortie,Saída,Salida,Uscita,Ieșire,Çıkış,Wyjdź,Konec,나가기,退出,退出,Saída
F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2
F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3
F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4,F4
Cильное освещение,Cильное освещение кабины,Bright cabin lighting,Kabinenbeleuchtung,Éclairage de cabine,Iluminação de cabine,Brillo de la cabina,Illuminazione della cabina,Lumină cabină,Kabin Işıkları,Jasność oświetlenia kabiny,Osvětlení kabiny,운전실 조명 밝기,车厢照明,車廂照明,Uliminação da cabine 
Освещение кабины,Освещение кабины,Cabin lighting,Kabinenbeleuchtung,Éclairage de cabine,Iluminação de cabine,Brillo de la cabina,Illuminazione della cabina,Lumină cabină,Kabin Işıkları,Jasność oświetlenia kabiny,Osvětlení kabiny,운전실 조명 밝기,车厢照明,車廂照明,Uliminação da cabine 
Батарея,Батарея,Battery,Batterie,Batterie,Bateria,Batería,Batteria,Baterie,Batarya,Bateria,Baterie,배터리,电池,電池,Bateria
Правая дверь,Правая дверь,Right door,Rechte Tür,Porte de droite,Porta direita,Puerta derecha,Porta destra,Ușă dreapta,Sağ Kapı ,Prawe drzwi,Pravé dveře,우측 문,右侧车门,右側車門,Porta da direita
Внутренняя дверь,Внутренняя дверь,Door to the passenger compartment,Tür zum Fahrgastraum,Porte du compartiment passager,Porta interna,Puerta del compartimiento de pasajeros,Porta del vagone passeggeri,Ușă spre salonul pasagerilor,Yolcu Bölmesine Geçiş Kapısı,Drzwi do przedziału pasażerskiego,Dveře do prostoru pro cestující,객실 문,司机室门,司機室門,Porta do vagão de passageiros
Левая дверь,Левая дверь,Left door,Linke Tür,Porte de gauche,Porta esquerda,Puerta izquierda,Porta sinistra,Ușă stânga,Sol Kapı,Lewe drzwi,Levé dveře,촤측 문,左侧车门,左側車門,Porta da esquerda
Контроллер реверса,Контроллер реверса,Reverse controller,Rückwerts Regler,Manette de marche arrière,Manete de reversor,Controlador inverso,Controller inverso,Manșă inversor,Geri Kontrolör,Odwróć kontroler,Zpětný řadič,역전간,倒退驾驶,倒退駕駛,Controle inverso
Принять,Принять,Accept,Akzeptieren,Accepter,Aceitar,Aceptar,Accetta,Acceptă,Kabul Et,Akceptuj,Potvrdit,확인,允许,允許,Aceitar
Блок не активен,Блок не активен,Block inactive,keine Belegung,Section inactive,Bloco não ativo,Bloque inactivo,Blocco inattivo,Secțiune inactivă,Bölüm Aktif Değil,Blok nieaktywny,Blok není aktivní,경로 설정,区块待用,區塊待用,Bloqueio inativo
